nObserver,ch,RT,duration1,duration2,accuracy
1,1,6.203004,2.25,3,1
1,1,5.673194,2.25,2.5,1
1,1,3.625791,1.25,1.5,1
1,-1,2.046961,0.75,0.25,1
1,1,2.822015,0.75,1.25,1
1,1,3.178272,0.75,1.5,1
1,1,6.729242,2.25,2.75,1
1,1,1.656126,0.25,0.5,1
1,-1,6.931187,1.75,2.25,0
1,1,2.705474,0.75,1,1
1,1,4.780437,1.75,2,1
1,1,3.964689,1.25,1.75,1
1,-1,2.570593,1,0.25,1
1,-1,4.2428,2,1.25,1
1,1,5.154852,1.75,2.5,1
1,-1,2.170443,1,0.25,1
1,1,6.066176,2.25,2.75,1
1,1,6.223671,2.25,1.75,0
1,1,4.790276,2,1.75,0
1,-1,3.374177,1.5,0.75,1
1,-1,4.399251,1.75,1.25,1
1,1,2.648867,0.75,1,1
1,-1,4.243272,2,1.25,1
1,-1,6.489773,3,2.25,1
1,-1,2.16912,0.75,0.25,1
1,-1,6.52594,2.5,2.25,1
1,1,2.954403,0.75,1.25,1
1,-1,5.414241,2.5,1.75,1
1,-1,4.089252,1.5,1.25,1
1,-1,3.310009,0.5,0.25,1
1,-1,2.31097,1,0.25,1
1,1,2.874797,0.75,1.25,1
1,1,5.159977,1.75,2.5,1
1,-1,4.55308,1.5,1.25,1
1,1,1.850654,0.25,0.75,1
1,1,3.151359,0.75,1.5,1
1,-1,5.462452,2.25,1.75,1
1,1,4.275367,1.25,2,1
1,1,5.779744,2.25,2.5,1
1,-1,2.755553,1,0.75,1
1,1,6.176411,2.25,3,1
1,1,4.128423,1.25,1.75,1
1,1,1.685178,0.25,0.5,1
1,-1,6.279127,2.75,2.25,1
1,1,4.829651,1.75,2,1
1,1,2.870817,0.75,1.25,1
1,1,4.863933,1.75,2,1
1,1,1.888739,0.25,0.5,1
1,1,2.61349,0.75,1,1
1,1,6.264872,2.75,2.25,0
1,1,4.096407,1.25,2,1
1,1,4.820566,1.75,2.25,1
1,-1,3.913124,1.5,1.25,1
1,-1,6.279571,3,2.25,1
1,1,5.193732,1.75,2.5,1
1,1,3.858637,1.25,1.75,1
1,-1,2.103634,0.75,0.25,1
1,1,6.678674,2.5,2.25,0
1,1,2.342992,0.25,1,1
1,-1,3.747512,1.5,0.75,1
1,1,4.672057,2,1.75,0
1,-1,3.827147,1.5,0.75,1
1,1,2.290585,0.25,1,1
1,1,4.302208,1.5,1.25,0
1,1,6.239083,2.75,2.25,0
1,-1,4.924684,1.75,1.25,1
1,1,2.886239,0.75,1.25,1
1,-1,4.980584,2,1.25,1
1,1,2.662236,0.25,0.5,1
1,-1,5.545387,2.25,1.75,1
1,1,5.074166,1.75,2.5,1
1,1,6.761166,2.25,3,1
1,-1,2.275406,0.75,0.25,1
1,1,6.749687,2.5,2.25,0
1,1,2.565063,0.75,1,1
1,1,2.522382,0.75,1,1
1,-1,3.216767,1.5,0.75,1
1,1,4.819203,1.75,2.25,1
1,-1,4.431162,2,1.25,1
1,1,3.636331,1.25,1.5,1
1,-1,2.722457,1,0.25,1
1,1,5.0383,2,1.75,0
1,-1,7.481385,2.25,3,0
1,-1,2.482302,0.5,0.25,1
1,1,3.466818,1.25,0.75,0
1,1,1.857742,0.25,0.75,1
1,1,5.549296,2.25,2.5,1
1,1,4.294535,1.25,1.75,1
1,1,5.981033,2.75,2.25,0
1,1,5.425399,2.5,1.75,0
2,-1,6.664807,2.25,1.75,1
2,1,5.422456,1.25,1.75,1
2,1,6.348401,2.25,3,1
2,-1,5.126533,0.5,0.25,1
2,-1,3.661166,1.25,0.75,1
2,1,2.065337,0.25,0.75,1
2,1,7.383374,2.25,2.75,1
2,-1,5.705805,2.5,1.75,1
2,-1,4.238006,1,0.75,1
2,1,4.263266,1.25,2,1
2,1,4.835137,1.75,2,1
2,1,3.968655,1.25,1.5,1
2,1,3.223437,0.75,1.5,1
2,1,2.15902,0.25,1,1
2,1,6.045063,2.25,2.5,1
2,1,3.138631,0.75,1.5,1
2,-1,4.178855,1.25,1.5,0
2,1,1.932377,0.25,0.75,1
2,1,5.248818,1.75,2.5,1
2,-1,6.805547,2.75,2.25,1
2,1,6.139866,2.25,3,1
2,1,1.814592,0.25,0.5,1
2,1,3.888414,1.25,1.75,1
2,1,6.349587,2.5,2.25,0
2,-1,3.51923,1.25,0.75,1
2,-1,4.795437,1.75,2,0
2,-1,5.948983,2.25,1.75,1
2,-1,3.170601,1,0.25,1
2,1,2.807672,0.75,1,1
2,1,4.440777,2,1.25,0
2,1,4.344713,1.25,1.5,1
2,1,5.120144,1.75,2,1
2,1,4.040233,1.25,1.75,1
2,1,1.82062,0.25,0.75,1
2,-1,2.682012,1,0.25,1
2,-1,2.031853,0.5,0.25,1
2,-1,3.080027,1.25,0.75,1
2,1,4.147664,0.75,1,1
2,1,5.616073,1.75,2.25,1
2,1,6.172701,2.5,2.25,0
2,-1,5.618448,2.5,1.75,1
2,-1,3.354468,1.5,0.75,1
2,1,4.072666,1.25,2,1
2,-1,5.998808,2.75,2.25,1
2,-1,6.333733,3,2.25,1
2,-1,3.45243,1.25,0.75,1
2,1,3.609236,0.25,1,1
2,-1,6.150625,2.25,2.5,0
2,-1,5.399431,2.25,1.75,1
2,1,4.885822,1.75,2,1
2,1,1.893922,0.25,0.5,1
2,-1,4.583862,2,1.25,1
2,-1,3.436894,0.75,0.25,1
2,-1,6.723378,3,2.25,1
2,1,3.146145,0.75,1.5,1
2,1,4.70946,1.25,1.75,1
2,-1,2.97727,1,0.75,1
2,-1,6.341331,2.75,2.25,1
2,-1,3.944028,1.5,1.25,1
2,1,5.165045,1.75,2.5,1
2,-1,4.763691,1.5,1.25,1
2,1,6.151679,2.5,2.25,0
2,-1,2.177027,0.5,0.25,1
2,1,2.868598,0.75,1.25,1
2,1,4.801394,1.75,2,1
2,1,4.862836,1.75,2.25,1
2,1,5.886809,2.25,2.75,1
2,1,1.977635,0.25,0.75,1
2,-1,2.763044,1,0.25,1
2,1,6.282634,2.25,3,1
2,1,3.083327,0.75,1.5,1
2,-1,4.179903,2,1.25,1
2,-1,4.776762,1.75,1.25,1
2,1,5.05624,1.75,2.5,1
2,1,3.838855,1,0.75,0
2,-1,3.18238,1.25,0.75,1
2,-1,5.998277,2.5,2.25,1
2,-1,5.103053,2,1.25,1
2,-1,2.203602,0.75,0.25,1
2,1,3.880103,1.25,1.5,1
2,1,4.787086,1.75,2,1
2,1,3.120554,0.75,1.5,1
2,-1,4.904525,2.25,1.75,1
2,1,1.754025,0.25,0.5,1
2,1,3.852912,1.25,1.75,1
2,1,7.129096,2.25,3,1
2,-1,2.922164,0.75,1,0
2,1,2.085927,0.25,1,1
2,-1,5.562865,2.5,1.75,1
2,-1,5.999079,2.75,2.25,1
3,-1,3.844013,1,0.75,1
3,1,4.584975,1.25,1.5,1
3,-1,6.016603,2.5,1.75,1
3,1,3.475553,0.75,1.5,1
3,-1,2.635687,0.5,0.25,1
3,-1,6.506655,2.5,2.25,1
3,1,6.491557,1.75,2,1
3,-1,5.784623,2.25,1.75,1
3,1,5.783075,1.25,0.75,0
3,1,2.071738,0.25,0.75,1
3,-1,2.789024,1,0.25,1
3,-1,4.781906,2,1.25,1
3,-1,7.124478,3,2.25,1
3,1,4.135848,1.25,1.75,1
3,-1,7.924631,2.75,2.25,1
3,-1,4.712371,1.75,1.25,1
3,-1,3.393311,0.5,0.25,1
3,-1,3.591348,1.25,0.75,1
3,-1,5.924988,2.5,1.75,1
3,1,4.000554,1.25,1.5,1
3,-1,6.406517,2.5,2.25,1
3,-1,6.786989,2.75,2.25,1
3,1,2.098199,0.25,0.75,1
3,1,5.025844,1.75,2,1
3,1,2.138232,0.25,1,1
3,-1,3.82535,1.5,0.75,1
3,1,5.301188,1.75,2.25,1
3,1,3.144786,0.75,1,1
3,1,4.398483,1.25,2,1
3,1,6.211491,2.25,3,1
3,1,6.243595,2.25,3,1
3,1,2.558513,0.25,1,1
3,-1,3.52043,1.5,0.75,1
3,1,4.014208,1.25,1.5,1
3,-1,6.175163,2.75,2.25,1
3,1,6.092442,2.5,2.25,0
3,-1,2.685208,0.75,0.25,1
3,-1,7.535715,2,1.75,1
3,-1,3.431372,1.25,0.75,1
3,-1,4.510049,1.75,1.25,1
3,1,2.668009,0.75,1,1
3,-1,5.596768,2.5,1.75,1
3,-1,4.705696,2,1.25,1
3,-1,3.673056,0.5,0.25,1
3,-1,5.451277,2.25,1.75,1
3,1,2.068124,0.25,0.75,1
3,1,5.754154,1.75,2.25,1
3,1,4.684945,1.25,2,1
3,-1,4.179905,1.5,1.25,1
3,1,6.109377,2.25,3,1
3,1,3.095031,0.75,1.25,1
3,-1,5.882729,2.5,1.75,1
3,1,2.051373,0.25,0.5,1
3,1,7.334015,2,1.75,0
3,1,3.452485,0.75,1.5,1
3,1,6.134799,2.25,2.75,1
3,1,2.751053,0.25,1,1
3,-1,3.664738,1,0.75,1
3,1,7.029622,2.5,2.25,0
3,-1,4.588435,1.75,1.25,1
3,1,1.942682,0.25,0.75,1
3,1,6.312656,2.75,2.25,0
3,1,4.418023,1.25,2,1
3,1,6.30743,2.25,3,1
3,1,3.177398,0.75,1.25,1
3,-1,3.376466,1,0.75,1
3,-1,5.740782,2,1.75,1
3,-1,5.397264,1.5,1.25,1
3,1,3.20535,0.75,1.5,1
3,1,4.090609,1.25,1.75,1
3,-1,2.085665,0.5,0.25,1
3,-1,5.731884,2.25,1.75,1
3,-1,6.027277,2.5,1.75,1
3,1,6.009722,2.25,2.5,1
3,1,2.595556,0.25,1,1
3,1,3.080232,0.75,1.5,1
3,-1,5.81089,2.5,1.75,1
3,1,4.530814,1.25,2,1
3,1,5.216845,1.75,2.25,1
3,1,2.096454,0.25,1,1
3,-1,6.844144,2.75,2.25,1
3,-1,3.190274,1,0.75,1
3,1,2.15746,0.25,0.75,1
3,1,2.407669,0.25,0.5,1
3,1,5.07852,1.75,2,1
3,-1,5.982212,2.5,2.25,1
3,1,2.888071,0.75,1.25,1
3,1,3.874185,1.25,1.75,1
3,1,7.351578,1.5,1.25,0
3,-1,6.953386,3,2.25,1
4,1,4.847991,1.25,1.75,1
4,1,2.35417,0.25,1,1
4,-1,6.369918,2.25,1.75,1
4,1,6.60779,2.25,2.75,1
4,1,2.041862,0.25,0.75,1
4,1,5.498384,1.5,1.25,0
4,-1,3.939223,1.5,0.75,1
4,1,3.187983,0.75,1,1
4,-1,4.16421,0.5,0.25,1
4,1,5.394473,1.75,2.5,1
4,-1,6.989222,3,2.25,1
4,1,2.855841,0.75,1.25,1
4,1,5.393754,2,1.75,0
4,1,7.683062,2.5,2.25,0
4,-1,5.00827,2,1.25,1
4,1,6.028508,1.75,2.5,1
4,1,3.609032,1.25,1.5,1
4,1,1.768897,0.25,1,1
4,-1,3.54976,1.25,0.75,1
4,1,2.237766,0.25,0.5,1
4,1,1.890893,0.25,0.75,1
4,1,2.738084,0.75,1,1
4,1,3.8623,1.25,1.75,1
4,1,5.657889,2.25,2.5,1
4,1,6.231787,2.25,3,1
4,1,5.903614,2.25,2.75,1
4,1,5.568082,2,1.75,0
4,1,4.203221,1.25,2,1
