nObserver,ch,RT,splitL,splitR
1,1,1.042456,0.07186,0.763487
1,-1,1.391429,0.713874,0.987937
1,-1,1.034162,0.693841,0.411484
1,1,0.987575,0.114639,0.681937
1,1,1.111895,0.906712,0.428185
1,-1,0.620427,0.529971,0.107901
1,1,0.920359,0.279797,0.410225
1,-1,0.831481,0.820264,0
1,1,1.038928,0.38495,0.581093
1,-1,0.872758,0.29631,1
1,1,0.939437,0.800005,0.507719
1,1,1.617156,0.093847,0.932436
1,1,0.840265,0.625208,0.481424
1,1,1.239833,0.024384,0.879732
1,-1,1.123995,0.102625,0.01685
1,1,1.10146,0.212987,0.30972
1,-1,1.390371,0.725876,0.805972
1,1,0.752699,0,0.515848
1,1,0.75547,1,0.610928
1,-1,0.675804,0.98176,0.00847
1,1,0.752806,0.084594,0.589119
1,-1,0.577886,0.662993,0.00372
1,-1,0.671413,0.508511,0.91179
1,-1,0.517284,0.513523,0.378734
1,1,0.891306,0.885617,0.790096
1,-1,1.019746,0.126043,0.986411
1,1,0.756549,0.695101,0.580067
1,-1,1.373184,0.688596,0.308012
1,-1,0.730811,0.364524,0.20934
1,1,0.908606,0.99554,0.201304
1,1,0.67008,0.684615,0.487484
1,1,0.721966,0.220206,0.50988
1,1,0.668448,0.100797,0.387567
1,1,0.601478,0.289251,0.528262
1,1,1.109904,0.879693,0.238178
1,1,0.646366,0,0.408612
1,-1,0.679723,0.301905,0.084904
1,1,0.608228,0,0.619952
1,1,0.923849,0.980844,0.806994
1,1,0.635934,0.013205,0.18783
1,-1,0.595756,0.221662,0.063314
1,1,0.798271,0.988685,0.894059
1,1,0.59087,0.008057,0.307401
1,1,1.021927,0.886408,0.712009
1,-1,0.617548,0.61069,0.311811
1,1,0.564617,0.202383,0.630976
1,1,0.657605,0.788038,0.593918
1,-1,0.693053,0.780947,0.209985
1,1,0.516177,1,0.532594
1,1,2.335606,0.80439,0.313977
1,1,1.517744,0.182424,0.718388
1,-1,0.732272,0.357244,0.829558
1,-1,0.578654,0.38836,0.990957
1,1,0.805138,0.907349,0.62506
1,1,0.990744,0.886353,0.277418
2,1,1.60863,1,0.889561
2,-1,1.656352,0.305272,0.198899
2,1,2.727687,0,0.732559
2,-1,1.649396,0.576131,0.898036
2,-1,2.115761,0.606347,0.31644
2,1,1.361824,0.009443,0.812972
2,-1,1.721706,0.531846,0.364198
2,-1,0.885884,0.142449,0
2,-1,1.17688,0.68306,0.988915
2,-1,1.594181,0.296797,0.98287
2,-1,1.299532,0.748012,0.839244
