nObserver,cond,nEsti,nDictator,prefDictator,estim,RT,accuracy
1,1,1,16,0.951515151515152,0.505859,21.670221,0.554343848484848
1,1,2,16,0.951515151515152,1,8.29995,0.951515151515152
1,1,3,16,0.951515151515152,1,7.918343,0.951515151515152
1,1,4,16,0.951515151515152,1,3.632417,0.951515151515152
1,1,1,9,0.757575757575758,0.514648,10.624085,0.757072242424242
1,1,2,9,0.757575757575758,0.795898,6.052756,0.961677757575758
1,1,3,9,0.757575757575758,0.59375,5.750723,0.836174242424242
1,1,4,9,0.757575757575758,0.772461,5.817699,0.985114757575758
1,1,1,1,0.509090909090909,0.526367,5.836508,0.982723909090909
1,1,2,1,0.509090909090909,0.511719,5.983724,0.997371909090909
1,1,3,1,0.509090909090909,0.514648,6.90197,0.994442909090909
1,1,4,1,0.509090909090909,0.491211,7.047573,0.982120090909091
1,1,1,2,0.624242424242424,0.491211,4.431908,0.866968575757576
1,1,2,2,0.624242424242424,0.822266,4.848554,0.801976424242424
1,1,3,2,0.624242424242424,0.708008,6.033205,0.916234424242424
1,1,4,2,0.624242424242424,0.582031,7.284253,0.957788575757576
1,4,1,6,1,0.535156,3.869768,0.535156
1,4,2,6,1,0.532227,8.371937,0.532227
1,4,3,6,1,0.529297,4.185424,0.529297
1,4,4,6,1,0.526367,5.850299,0.526367
1,4,1,11,0.690909090909091,0.514648,4.279775,0.823738909090909
1,4,2,11,0.690909090909091,0.541016,3.38417,0.850106909090909
1,4,3,11,0.690909090909091,0.517578,8.355084,0.826668909090909
1,4,4,11,0.690909090909091,0.532227,5.517859,0.841317909090909
1,4,1,10,0.115151515151515,0.535156,3.93414,0.579995515151515
1,4,2,10,0.115151515151515,0.523438,6.485118,0.591713515151515
1,4,3,10,0.115151515151515,0.511719,5.452463,0.603432515151515
1,4,4,10,0.115151515151515,0.535156,4.400586,0.579995515151515
1,4,1,5,0.872727272727273,0.529297,5.185771,0.656569727272727
1,4,2,5,0.872727272727273,0.526367,6.587413,0.653639727272727
1,4,3,5,0.872727272727273,0.526367,3.951115,0.653639727272727
1,4,4,5,0.872727272727273,0.532227,5.184395,0.659499727272727
1,3,1,13,0.921212121212121,0.520508,4.350683,0.599295878787879
1,3,2,13,0.921212121212121,0.40332,10.274621,0.482107878787879
1,3,3,13,0.921212121212121,0.772461,6.051659,0.851248878787879
1,3,4,13,0.921212121212121,0.775391,8.739221,0.854178878787879
1,3,1,14,0.563636363636364,0.541016,4.387445,0.977379636363636
1,3,2,14,0.563636363636364,0.50293,3.332265,0.939293636363636
1,3,3,14,0.563636363636364,0.50293,5.937978,0.939293636363636
1,3,4,14,0.563636363636364,0.584961,4.726678,0.978675363636364
1,3,1,15,0.824242424242424,0.517578,5.687799,0.693335575757576
1,3,2,15,0.824242424242424,0.78125,9.037303,0.957007575757576
1,3,3,15,0.824242424242424,0.763672,5.001209,0.939429575757576
1,3,4,15,0.824242424242424,0.728516,7.503016,0.904273575757576
1,3,1,3,0.721212121212121,0.558594,3.168632,0.837381878787879
1,3,2,3,0.721212121212121,0.658203,4.699772,0.936990878787879
1,3,3,3,0.721212121212121,0.664062,5.937143,0.942849878787879
1,3,4,3,0.721212121212121,0.625977,4.11854,0.904764878787879
1,2,1,7,0.951515151515152,0.526367,4.949926,0.574851848484848
1,2,2,7,0.951515151515152,1,2.046907,0.951515151515152
1,2,3,7,0.951515151515152,1,2.414216,0.951515151515152
1,2,4,7,0.951515151515152,1,3.030558,0.951515151515152
1,2,1,8,0.672727272727273,0.520508,3.465309,0.847780727272727
1,2,2,8,0.672727272727273,0.582031,6.117408,0.909303727272727
1,2,3,8,0.672727272727273,0.579102,4.814016,0.906374727272727
1,2,4,8,0.672727272727273,0.564453,4.01526,0.891725727272727
1,2,1,4,1,0.538086,4.802408,0.538086
1,2,2,4,1,0.822266,5.232256,0.822266
1,2,3,4,1,1,2.264006,1
1,2,4,4,1,1,4.683242,1
1,2,1,12,0.478787878787879,0.520508,4.902217,0.958279878787879
1,2,2,12,0.478787878787879,0.458984,4.431629,0.980196121212121
1,2,3,12,0.478787878787879,0.394531,3.912962,0.915743121212121
1,2,4,12,0.478787878787879,0.450195,5.015499,0.971407121212121
2,1,1,16,0.951515151515152,0.508789,23.521793,0.557273848484849
2,1,2,16,0.951515151515152,1,5.681053,0.951515151515152
2,1,3,16,0.951515151515152,0.918945,9.420522,0.967429848484848
2,1,4,16,0.951515151515152,1,3.199171,0.951515151515152
2,1,1,1,0.509090909090909,0.50293,5.835777,0.993839090909091
2,1,2,1,0.509090909090909,0.675781,8.368647,0.833309909090909
2,1,3,1,0.509090909090909,0.734375,5.900671,0.774715909090909
2,1,4,1,0.509090909090909,0.508789,5.89893,0.999698090909091
2,1,1,8,0.672727272727273,0.198242,4.988085,0.525514727272727
2,1,2,8,0.672727272727273,0.549805,5.951155,0.877077727272727
2,1,3,8,0.672727272727273,0.532227,8.172154,0.859499727272727
2,1,4,8,0.672727272727273,0.558594,8.036191,0.885866727272727
2,1,1,9,0.757575757575758,0.333008,4.966666,0.575432242424242
2,1,2,9,0.757575757575758,0.760742,5.315218,0.996833757575758
