nObserver,cond,nDictator,chDictator,RTDictator,splitL,splitR,chObserver,RTObserver,lastEstim,duration,selfChObserver,selfRTObserver,similarity
1,1,16,1,1.716305,0.692258,0.892014,1,7.996224,1,1,1,1.021927,0.612121212121212
1,1,16,1,0.324552,0,0.768783,1,0.964371,1,0,-1,0.831481,0.612121212121212
1,1,16,1,0.324536,0.684374,0.914881,1,0.797721,1,0,1,1.021927,0.612121212121212
1,1,16,1,1.424572,0.614249,0.976462,1,0.9285,1,1,1,0.75547,0.612121212121212
1,1,9,-1,4.241698,0.809005,0.393009,-1,2.405796,0.772461,1,-1,0.732272,0.806060606060606
1,1,9,1,2.958114,0.883084,0.553887,-1,3.778566,0.772461,1,1,0.805138,0.806060606060606
1,1,9,-1,0.700057,0.210235,0.037963,-1,1.158949,0.772461,0,1,0.635934,0.806060606060606
1,1,9,1,0.700111,0.10596,0.586946,1,1.159393,0.772461,0,1,0.752806,0.806060606060606
1,1,1,-1,2.34139,0.881676,0.093733,-1,2.686993,0.491211,1,1,1.617156,0.945454545454545
1,1,1,1,0.749576,0.285316,0.513349,1,1.088097,0.491211,0,1,0.601478,0.945454545454545
1,1,1,-1,0.716748,0.293405,0.015848,-1,0.888794,0.491211,0,1,0.59087,0.945454545454545
1,1,1,1,4.666785,0.402851,0.587478,-1,1.671986,0.491211,1,1,1.038928,0.945454545454545
1,1,2,-1,0.457917,0.41424,1,-1,2.573157,0.582031,0,-1,0.578654,0.939393939393939
1,1,2,1,2.058057,0.38374,0.695482,1,1.696864,0.582031,1,-1,1.034162,0.939393939393939
1,1,2,-1,0.466723,0.173366,0,-1,0.827369,0.582031,0,1,0.635934,0.939393939393939
1,1,2,1,1.524555,0.082965,1,1,1.212271,0.582031,1,-1,1.019746,0.939393939393939
1,4,6,1,2.616435,0.612767,0.876776,-1,0.97305,0.526367,1,1,0.805138,0.563636363636364
1,4,6,-1,1.000143,0.107352,0.003723,-1,1.730476,0.526367,0,-1,1.123995,0.563636363636364
1,4,6,-1,4.366728,0.994777,0.595016,1,1.196521,0.526367,1,1,0.75547,0.563636363636364
1,4,6,-1,1.016852,0.305985,0.071196,-1,0.746051,0.526367,0,-1,0.679723,0.563636363636364
1,4,11,1,2.966579,0.381785,0.771742,-1,1.453623,0.532227,1,-1,0.732272,0.872727272727273
1,4,11,1,4.384084,0.288038,0.860615,-1,1.359677,0.532227,1,1,0.990744,0.872727272727273
