nDictator,ch,RT,splitL,splitR
1,-1,2.583034,0.884352,0.982469
1,-1,3.308171,0.300509,0.909068
1,-1,1.983603,0.785188,0.106458
1,-1,1.2664,0.535269,0.805134
1,1,2.258066,0,0.708649
1,1,2.841454,0.00658,0.897347
1,1,2.43305,1,0.305057
1,-1,1.45813,0.113681,1
1,1,2.075125,0.988218,0.776418
1,1,1.158014,0.020122,0.578183
1,1,1.066788,0.610962,0.483968
1,1,1.249685,0.809114,0.570528
1,-1,1.141169,0.494456,0.411205
1,1,1.96628,0,0.761067
1,-1,2.083648,0.286122,0.158441
1,1,1.724597,0.872304,0.806522
1,1,1.616714,0,0.226422
1,-1,1.383547,0.620561,0
1,1,1.532883,0.31771,0.376968
1,1,1.749562,0.092219,0.606986
1,-1,1.49953,0.499427,0.121438
1,-1,1.28307,0.42683,1
1,-1,1.400195,0.408231,0
1,1,1.591449,1,0.203717
1,1,1.150189,0.894603,0.386014
1,1,1.250181,0.16756,0.579378
1,1,1.066752,0.67537,0.4993
1,-1,1.407843,0.485248,0.164057
1,-1,1.807941,0.301279,0.796683
1,-1,1.232872,0.304107,0.114288
1,-1,1.433086,0.907863,7.4e-05
1,-1,1.067283,0.369405,0.1589
1,-1,1.107983,0.404202,0.808304
1,1,1.091357,0.376257,0.505138
1,1,0.900588,0.722471,0.413417
1,-1,1.616263,0.709884,0.775936
1,1,1.508082,0,0.928437
1,1,1.816313,0.692083,0.376802
1,-1,1.591255,0.795997,0.075055
1,1,1.041347,0.714339,0.52844
1,1,0.867281,0.010479,0.366508
1,-1,1.066839,0.581947,0.2391
1,1,1.266178,0.592874,0.490772
1,-1,1.383441,0.018981,1
1,1,4.666785,0.402851,0.587478
1,1,1.524545,0.087685,0.381121
1,-1,1.333088,0.689056,1
1,-1,4.167749,0.79056,0.182447
1,-1,1.132798,0.577395,0.311355
1,1,1.674615,0.827482,0.300248
1,1,1.349741,0.095283,0.272219
1,1,0.92463,0.228332,0.61381
1,1,0.958021,0.712173,0.424196
1,1,1.274674,1,0.931127
1,1,1.099463,0.875303,0.82942
1,-1,2.449749,0.68523,0.989673
1,-1,0.891269,0.505997,1
1,-1,0.89134,0.602217,0.104658
1,1,1.066327,0.102444,0.38338
1,-1,0.866792,0.515991,0.03704
1,-1,1.166351,0.290366,0.894012
1,-1,0.657978,0.513418,0.275063
1,-1,0.716734,0.496238,0.242264
1,1,0.891305,0.990409,0.898945
1,1,0.841304,1,0.590139
1,-1,0.649643,0.110825,1
1,1,2.383063,0.371514,0.585052
1,-1,0.866764,0.358079,0.902617
1,1,0.749644,1,0.579586
1,1,0.616707,0.773379,0.464414
1,1,0.916724,0.722064,0.306325
1,-1,1.71629,0.974798,0.016341
1,-1,1.166843,0.499396,0.205199
1,1,0.9668,0.062661,0.306688
1,-1,1.199696,0.278136,0.194277
1,1,0.92485,0.982833,0.400114
1,1,1.033036,0.406082,0.500252
1,-1,1.099528,0.587202,0.798366
1,1,1.4669,0.00716,0.105174
1,1,0.933454,0,0.657551
1,1,0.707939,1,0.309983
1,-1,0.716748,0.293405,0.015848
1,-1,0.941265,0.534654,0.799677
1,1,0.833847,0.004584,0.598593
1,1,0.616735,0.08953,0.234931
1,1,0.774613,0.743402,0.580911
1,1,0.824631,0.665715,0.589949
1,-1,0.866323,0.683514,0.882129
1,-1,1.233425,0.217498,1
1,-1,1.133001,0.296294,0.180901
1,1,1.999649,0.07309,0.87705
1,-1,1.049693,0.807889,1
1,-1,1.008016,0.480437,0.892002
1,1,1.116362,0.890843,0.208218
1,-1,0.874536,0.51133,0.90147
1,1,0.84133,1,0.611007
1,1,0.633362,0,0.111522
1,1,0.69107,0.976338,0.710013
1,-1,0.816848,0.260312,0
1,-1,1.058025,0.603797,0.909545
1,1,3.167075,0.389252,0.601502
1,-1,1.216347,0.695257,0.113865
1,-1,4.033361,0.223253,0.816944
1,1,1.682922,0.989458,0.362488
1,1,1.1835,0.014149,0.091369
1,1,1.083456,0.218852,0.419727
1,1,1.074664,0.093142,0.596471
1,-1,1.416859,0.189897,0.118864
1,1,1.149486,0.099599,0.779939
1,1,1.083025,0.311773,0.528386
1,-1,1.008019,0.565054,0.695259
1,1,2.949816,0.713902,0.319255
1,-1,3.884398,0.215348,0.810267
1,1,1.000159,0.036685,0.18682
1,-1,1.783114,0.396962,0.776228
1,1,2.391865,0.884411,0.788637
1,-1,1.757973,0.508299,0.902999
1,-1,2.058025,0.217778,0.887973
1,-1,2.34139,0.881676,0.093733
1,1,1.466236,0.877524,0.337795
1,1,0.799652,0.051282,0.510622
1,1,1.699612,1,0.221121
1,-1,1.93364,0.628082,0.278848
1,1,1.141372,0.099965,0.705674
1,1,1.066393,0.264948,0.424304
1,-1,1.233491,0.212422,0.000865
1,-1,0.916385,0.667322,0.811609
1,1,1.241179,0.987508,0.119962
1,-1,1.974625,0.502912,0.581925
1,1,1.99968,0.913142,0.197862
1,1,2.733113,0.089604,0.912848
1,-1,1.558105,0.71779,0.213949
1,1,1.691266,0.280076,0.579382
1,1,1.258067,0.99462,0.311832
1,1,1.241396,0.700857,0.511455
1,1,1.074522,1,0.488934
1,-1,1.174708,0.475722,0.014811
1,-1,1.216848,0.319945,0
1,-1,1.374747,0.813902,1
1,1,0.966416,0.93198,0.684411
1,-1,1.657917,0.822605,0.040701
1,1,0.999696,0.870651,0.589449
1,1,0.766315,0.089222,0.47514
1,-1,1.25785,0.691049,0.812037
1,-1,0.824664,0.367445,0.201805
1,1,1.674795,0.208653,0.701345
1,1,1.100628,0.20996,0.703172
1,1,0.749576,0.285316,0.513349
1,1,1.624785,0.799135,0.277609
1,-1,1.083522,0.617598,0.874422
1,1,0.817315,0.293104,0.376698
1,-1,1.316387,0.681925,0.014697
1,1,1.241873,0.777721,0.61596
1,1,1.534004,0.018778,0.5362
1,1,1.033365,1,0.522934
1,-1,1.358064,0.392843,0.792138
1,1,0.966387,0,0.418308
1,1,0.774654,0.097266,0.724339
1,1,0.957808,0.930636,0.704542
1,-1,1.016363,0.307055,0.727956
1,-1,0.799666,0.389397,0.082324
1,-1,0.766315,0.408175,0.875476
1,-1,1.116192,0.811884,0.002853
1,-1,1.166876,0.202138,0.106905
1,-1,1.050637,0.988994,0.001917
2,-1,1.333121,0.324492,0.106149
2,1,1.23304,0.330833,0.466333
2,-1,0.999673,0.42288,0.190337
2,-1,1.03304,1,0.303318
2,1,0.957975,0.424055,0.740604
2,-1,0.883028,0.890297,0.088167
2,1,1.541264,0.093708,0.30995
2,-1,1.408112,0.474066,0.10571
2,-1,1.607987,0.494523,0.580718
2,-1,1.283102,0.77602,0.379173
2,-1,1.125182,0.8941,0.486308
2,-1,1.174738,0.377483,0.211881
2,1,1.349744,0,0.907666
2,-1,1.458392,0.517249,0.987845
2,1,1.374767,0.909272,0.401715
2,1,2.350369,0.913728,0.292159
2,-1,1.583569,0.704007,0.203737
2,1,1.016843,0.014219,0.703374
2,1,1.458089,0.804899,0.468352
2,-1,1.241908,0.615274,1
2,1,1.216165,1,0.872691
2,1,2.291387,0.130502,0.689433
2,-1,0.900143,0.324998,0.006285
2,1,1.566273,0.117168,0.610843
2,1,1.249543,0.006742,0.892287
2,1,0.98304,0.032692,0.569426
2,1,1.366875,0.903377,0.412874
2,1,0.891315,0,0.663537
2,-1,0.88302,0.806324,0.921284
2,-1,0.682972,0.507647,0.001267
2,-1,0.507922,0.416648,0.770183
2,-1,1.94139,0.520953,0.576734
2,-1,2.03303,0.489949,0.387147
2,-1,0.991323,0.472351,0.712936
2,-1,0.72464,0.386637,0.995919
2,-1,0.866839,0.504812,0.004104
2,-1,5.784413,1,0.109535
