sub,Choice,RT,left_split,right_split
10,-1,0.432934,0.08856,0.697955
10,1,0.432911,0.93133,0.117453
10,-1,1.650306,0.008676,0.592791
10,-1,1.92471,0.233369,0.288051
12,1,0.624599,1,0.860423
12,1,0.599629,0.999124,0.706646
12,-1,3.774998,0.082238,0.929563
12,-1,3.925044,0.403519,0.605737
1,1,0.749576,0.285316,0.513349
1,-1,0.716748,0.293405,0.015848
1,-1,2.34139,0.881676,0.093733
1,1,4.666785,0.402851,0.587478
14,-1,0.71676,0.431464,0.094208
14,1,0.71632,0,0.526892
14,-1,2.983229,0.329952,0.80315
14,1,2.083073,0.288362,0.722026
2,-1,0.466723,0.173366,0
2,-1,0.457917,0.41424,1
2,1,2.058057,0.38374,0.695482
2,1,1.524555,0.082965,1
8,-1,0.858004,0.600316,0
8,1,0.833484,0,0.184209
8,1,2.983227,0.427113,0.693287
8,-1,4.267403,0.614735,0.689625
3,-1,0.474599,0.791126,0.300575
3,1,0.466706,0,0.367382
3,1,2.149677,0.238491,0.918021
3,-1,6.875498,0.897626,0.271551
11,1,0.666854,0,0.420608
11,1,0.624629,0.005939,0.501304
11,1,4.384084,0.288038,0.860615
11,1,2.966579,0.381785,0.771742
9,1,0.700111,0.10596,0.586946
9,-1,0.700057,0.210235,0.037963
9,-1,4.241698,0.809005,0.393009
9,1,2.958114,0.883084,0.553887
15,-1,0.450077,0.569434,0
15,-1,0.441267,0.597934,0.094457
15,-1,1.458097,0.69461,0.95746
15,-1,1.916331,1,0.317288
5,-1,0.416196,1,0.324547
5,-1,0.407941,0.513428,0
5,-1,1.799626,0.807223,0.475038
5,1,1.916812,0.297437,1
7,1,0.532977,0.20277,0.868216
7,-1,0.532966,0.689473,0.104801
7,-1,2.683174,0.81274,0.679545
7,1,3.466676,0.508134,0.992668
4,1,0.666286,0.802544,0.998746
4,-1,0.650065,0.537315,0.016012
4,-1,3.192053,0.879833,0.585109
4,-1,1.733181,0.991625,0.486475
6,-1,1.016852,0.305985,0.071196
6,-1,1.000143,0.107352,0.003723
6,1,2.616435,0.612767,0.876776
6,-1,4.366728,0.994777,0.595016
13,-1,0.391199,1,0.334265
13,1,0.382928,0,0.792983
13,-1,1.141368,0.882208,0.695151
13,-1,1.066324,0.897506,0.689459
16,1,0.324552,0,0.768783
16,1,0.324536,0.684374,0.914881
16,1,1.716305,0.692258,0.892014
16,1,1.424572,0.614249,0.976462
